FromNode,ToNode,Weight
144452.0,144446.0,1.359533479414569
143167.0,143168.0,3.073502916463892
145545.0,145549.0,3.605551275463989
147165.0,147166.0,3.880037590880842
145213.0,145217.0,4.389918829543912
143175.0,143172.0,4.761184106693936
146406.0,146405.0,5.126882009428637
145995.0,146005.0,5.529612490134674
145169.0,145174.0,5.689173024327632
143612.0,143610.0,5.711532471616245
144503.0,144499.0,5.785500000230968
144152.0,144153.0,5.807011786654019
145198.0,145199.0,5.918301351757922
145260.0,145261.0,6.1370664515345
142279.0,142280.0,6.245020754412837
144159.0,144175.0,6.267944340783594
146174.0,146175.0,6.605947375525993
142696.0,142692.0,7.032963854192049
143773.0,143777.0,7.619817170108127
144598.0,144579.0,7.711399565064221
143692.0,143691.0,7.836600000676784
145210.0,145216.0,7.942502191262924
144893.0,144899.0,8.002815058099102
143777.0,143781.0,8.045989893090852
145465.0,145464.0,8.288362585519382
142450.0,142448.0,8.441149244699234
144136.0,144134.0,8.64513075558587
142230.0,142229.0,8.694202560285776
141800.0,141799.0,8.696024601595154
147719.0,147738.0,8.810913561316363
144779.0,144784.0,8.992960289436905
144146.0,144145.0,9.101400000974536
144122.0,144123.0,9.18635643217837
142408.0,142410.0,9.294807454009277
147378.0,147376.0,9.39293328651519
141644.0,141643.0,9.517763008427004
147127.0,147132.0,9.542501108239602
143103.0,143104.0,9.885816555384652
144349.0,144339.0,10.104579287501949
144219.0,144230.0,10.301140345200622
146738.0,146742.0,10.465674838942356
144775.0,144773.0,10.500632184043644
145674.0,145682.0,10.50960061610422
141423.0,141430.0,10.841718515754469
145634.0,145636.0,10.87558331760748
146807.0,146810.0,10.9360656858464
147117.0,147122.0,10.936690429086738
143280.0,143281.0,11.11032987883783
143182.0,143183.0,11.23177837649544
142030.0,142031.0,11.234923609719951
142662.0,142663.0,11.284886809149588
145458.0,145459.0,11.456782340787552
144921.0,144957.0,11.52038847730277
144070.0,144077.0,11.525058217906953
141496.0,141498.0,11.564783542981749
141591.0,141593.0,11.582648423028886
144656.0,144662.0,12.200815412926104
143577.0,143578.0,12.232204897684548
144458.0,144435.0,12.425104194137171
142226.0,142228.0,12.446413913159727
144347.0,144330.0,12.479258471812152
147099.0,147100.0,12.509543801597712
145541.0,145539.0,12.527820789027489
142782.0,142783.0,12.554339100610443
144799.0,144813.0,12.638794204032257
146728.0,146729.0,12.719032976716637
146054.0,146050.0,12.734506841509408
144139.0,144138.0,12.832871659995858
142570.0,142572.0,12.893063784854672
147327.0,147326.0,12.92287951048342
141598.0,141599.0,12.92676633371664
144964.0,144982.0,13.162039387120528
144982.0,144994.0,13.164139381921968
141796.0,141804.0,13.315205052941666
143027.0,143026.0,13.35686682869638
144041.0,144015.0,13.460794240476904
145208.0,145224.0,13.503536740999584
143170.0,143169.0,13.577567803784335
146741.0,146760.0,13.61640560278291
145012.0,145020.0,13.636539929564163
141617.0,141618.0,13.70751962413288
145266.0,145275.0,13.890792860136184
146870.0,146874.0,13.924921478303844
145463.0,145468.0,13.96999999973923
145493.0,145497.0,14.081360332457326
142172.0,142173.0,14.094653945223532
146751.0,146773.0,14.242971439634063
143926.0,143942.0,14.295168563358589
144054.0,144053.0,14.319464621239678
145390.0,145392.0,14.646900196679244
146601.0,146606.0,14.79182023693756
142384.0,142385.0,14.795867269428165
143701.0,143696.0,14.813249512594211
145397.0,145398.0,14.84490448176126
147663.0,147664.0,15.04732143136498
147293.0,147294.0,15.135401990157202
145314.0,145329.0,15.236340794386749
145091.0,145087.0,15.236839137311511
145138.0,145136.0,15.23703609586392
145285.0,145294.0,15.359659236774428
143082.0,143085.0,15.555900234351853
147477.0,147476.0,15.617483656835812
145258.0,145270.0,15.775236332076853
143181.0,143180.0,15.981258161560032
144290.0,144281.0,15.982164719408676
147518.0,147516.0,16.01173407478906
145426.0,145425.0,16.401145143483575
143938.0,143915.0,16.405399726677643
143574.0,143571.0,16.517147484341677
146164.0,146178.0,16.791000002881162
142118.0,142112.0,16.9763471716572
147366.0,147364.0,17.15924290262777
144094.0,144111.0,17.604824971225124
142857.0,142856.0,17.62129999976605
144653.0,144652.0,17.657310367326613
143132.0,143137.0,17.76693271991818
146010.0,146014.0,17.837822674316943
144683.0,144666.0,17.8565852866005
147969.0,147970.0,17.991950835399653
143939.0,143913.0,17.999990334086608
147483.0,147484.0,18.07061660773929
144113.0,144101.0,18.13556490447736
144149.0,144154.0,18.272812138923022
147796.0,147794.0,18.3052253463844
145246.0,145266.0,18.40118333627855
145532.0,145534.0,18.482947278382643
145355.0,145349.0,18.62032050697416
144050.0,144058.0,18.69514775658064
145698.0,145704.0,18.720916683291826
144469.0,144457.0,18.73385105671318
145020.0,145038.0,18.850537121407548
143393.0,143397.0,19.06702475918951
145539.0,145532.0,19.11276904985105
145693.0,145746.0,19.152504146148036
146000.0,145999.0,19.265107262093924
144837.0,144849.0,19.285508809309583
144836.0,144855.0,19.34867591151493
141546.0,141554.0,19.349898650195566
146126.0,146125.0,19.39202414102557
146659.0,146667.0,19.491652252926578
144700.0,144701.0,19.52165377562121
147437.0,147440.0,19.897131517958417
146105.0,146103.0,20.01721374130182
144855.0,144872.0,20.038934329408367
144911.0,144932.0,20.12133173023811
142557.0,142556.0,20.19026095551889
144746.0,144744.0,20.239922052811675
144827.0,144836.0,20.26815898145248
143581.0,143582.0,20.39727754258651
143334.0,143328.0,20.44776738187566
142667.0,142668.0,20.49586758243011
141948.0,141950.0,20.52541652162821
144150.0,144151.0,20.75550000279645
146994.0,146991.0,21.002481437646036
